City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
618,Mae Sai,TH,88.45,few clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
619,Fort Frances,CA,79.02,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
623,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
626,Belmonte,BR,75.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
630,Balkanabat,TM,88.59,clear sky,39.5108,54.3671,Nebitchi Hotel
631,Mayumba,GA,77.23,broken clouds,-3.432,10.6554,LIKWALE LODGE
638,Naliya,IN,85.53,broken clouds,23.2667,68.8333,Hotel Panchvati
641,Balabac,PH,85.64,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
644,Diu,IN,82.98,scattered clouds,20.7141,70.9822,Hotel Relax Inn
646,Rio Branco,BR,77.61,clear sky,-9.9747,-67.81,João Paulo Hotel
648,Kerema,PG,81.37,overcast clouds,-7.9631,145.7785,Frena Lodge
652,El Tigre,VE,79.81,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
657,Mier,MX,86.68,clear sky,26.4333,-99.15,Mier 09
659,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
660,Aiken,US,78.35,clear sky,33.5835,-81.5998,Aiken Cottages
669,Amahai,ID,80.06,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
673,Stephenville,US,77.59,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
674,Soto La Marina,MX,78.78,clear sky,23.7667,-98.2167,Hotel Chicago
676,Umm Lajj,SA,81.34,clear sky,25.0213,37.2685,Moon light Furnished Units
681,Nuqui,CO,79.59,light rain,5.7125,-77.2708,Hotel Nuquimar
683,Tibacuy,CO,76.8,overcast clouds,4.3511,-72.4564,hospedaje las palmas
687,Angoche,MZ,75.34,light rain,-16.2325,39.9086,Guest House HESADA
688,Zalantun,CN,85.21,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
691,Aswan,EG,81.52,clear sky,24.0934,32.907,Nuba Nile
694,Plattsburgh,US,77.32,clear sky,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
695,Rantepao,ID,81.43,broken clouds,-2.9701,119.8978,Hotel Luta Resort
696,Champerico,GT,85.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
