City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rikitea,PF,2021-05-21 16:41:30,-23.1203,-134.9692,297.72,54,91,2.89
68,Sitka,US,2021-05-21 16:41:11,57.0531,-135.33,285.09,54,90,7.2
69,Chifeng,CN,2021-05-21 16:41:31,42.2683,118.9636,294.13,40,45,3.82
70,Port Elizabeth,ZA,2021-05-21 16:41:32,-33.918,25.5701,287.31,67,0,10.8
71,Puerto Penasco,MX,2021-05-21 16:41:32,31.3167,-113.5333,298.1,14,3,2.68
72,Matagami,CA,2021-05-21 16:41:33,49.7502,-77.6328,293.21,81,90,3.2
73,Hofn,IS,2021-05-21 16:41:33,64.2539,-15.2082,277.16,56,75,4.12
74,Buraydah,SA,2021-05-21 16:41:34,26.326,43.975,313.4,6,52,6.43
75,Yellowknife,CA,2021-05-21 16:37:46,62.456,-114.3525,282.77,39,20,1.79
76,Maceio,BR,2021-05-21 16:41:35,-9.6658,-35.7353,300.84,74,75,4.16
77,Asyut,EG,2021-05-21 16:41:35,27.181,31.1837,306.36,11,0,6.07
78,Sechura,PE,2021-05-21 16:41:36,-5.5569,-80.8222,297.66,62,24,4.8
79,Mar Del Plata,AR,2021-05-21 16:41:36,-38.0023,-57.5575,290.16,46,75,7.6
80,Novikovo,RU,2021-05-21 16:41:37,51.1537,37.8879,285.95,83,97,2.91
81,Arraial Do Cabo,BR,2021-05-21 16:41:37,-22.9661,-42.0278,300.13,73,0,2.57
82,Luderitz,NA,2021-05-21 16:41:38,-26.6481,15.1594,290.02,58,27,9.57
83,Byron Bay,AU,2021-05-21 16:41:38,-28.65,153.6167,290.12,79,54,3.83
84,Airai,TL,2021-05-21 16:41:39,-8.9266,125.4092,287.82,93,100,1.26
85,East London,ZA,2021-05-21 16:41:40,-33.0153,27.9116,287.67,62,0,5.14
86,Samarai,PG,2021-05-21 16:41:40,-10.6167,150.6667,299.53,82,100,6.49
87,Port-Gentil,GA,2021-05-21 16:42:41,-0.7193,8.7815,300.13,89,40,4.63
88,Broken Hill,AU,2021-05-21 16:42:41,-31.95,141.4333,282.99,50,100,3.6
89,Ponta Do Sol,PT,2021-05-21 16:42:42,32.6667,-17.1,298.22,51,8,3.19
90,Winkler,CA,2021-05-21 16:42:43,49.1817,-97.941,284.55,90,100,2.97
91,Port Alfred,ZA,2021-05-21 16:42:43,-33.5906,26.891,288.4,67,48,10.39
92,Butaritari,KI,2021-05-21 16:42:44,3.0707,172.7902,300.18,85,100,7.53
93,Narsaq,GL,2021-05-21 16:42:44,60.9167,-46.05,275.27,91,100,8.38
94,Cayenne,GF,2021-05-21 16:42:05,4.9333,-52.3333,298.17,75,90,4.94
95,Enumclaw,US,2021-05-21 16:42:46,47.2043,-121.9915,284.01,91,68,0.45
96,Cap-Aux-Meules,CA,2021-05-21 16:42:46,47.3821,-61.8597,290.18,55,40,7.2
97,Lompoc,US,2021-05-21 16:40:01,34.6391,-120.4579,291.24,78,90,4.63
98,Newport,GB,2021-05-21 16:41:23,51.5877,-2.9984,285.83,88,100,9.29
99,Sokolo,ML,2021-05-21 16:42:47,14.7328,-6.1219,314.96,12,4,3.67
100,Khrebtovaya,RU,2021-05-21 16:42:48,56.7032,104.2494,274.03,45,88,1.78
101,Necochea,AR,2021-05-21 16:40:24,-38.5473,-58.7368,289.84,71,100,7.69
102,Nizhniy Tsasuchey,RU,2021-05-21 16:42:49,50.5167,115.1333,277.88,66,100,8.16
103,Codrington,AU,2021-05-21 16:42:49,-38.2667,141.9667,282.72,75,30,4.15
104,Voh,NC,2021-05-21 16:42:50,-20.9667,164.7,292.21,80,18,2.43
105,College,US,2021-05-21 16:41:31,64.8569,-147.8028,284.37,57,90,0.0
106,Santa Pola,ES,2021-05-21 16:42:51,38.1917,-0.5658,302.57,75,0,3.13
107,Nantucket,US,2021-05-21 16:33:45,41.2835,-70.0995,295.35,81,56,3.9
108,Khatanga,RU,2021-05-21 16:42:52,71.9667,102.5,264.61,94,91,1.65
109,Gawler,AU,2021-05-21 16:42:52,-34.6,138.7333,291.68,39,83,2.76
110,Lebu,CL,2021-05-21 16:42:53,-37.6167,-73.65,285.54,78,96,4.73
111,Kamenka,RU,2021-05-21 16:42:53,51.3223,42.7678,291.2,77,100,3.39
112,Atuona,PF,2021-05-21 16:42:54,-9.8,-139.0333,299.67,78,36,7.94
113,Kununurra,AU,2021-05-21 16:42:54,-15.7667,128.7333,293.14,83,3,0.0
114,Eyl,SO,2021-05-21 16:42:55,7.9803,49.8164,300.52,76,99,10.77
115,Severo-Kurilsk,RU,2021-05-21 16:42:55,50.6789,156.125,274.99,91,88,9.37
116,Te Anau,NZ,2021-05-21 16:42:56,-45.4167,167.7167,277.36,90,72,0.47
117,Hobart,AU,2021-05-21 16:42:56,-42.8794,147.3294,281.44,84,11,0.45
118,Pizarro,CO,2021-05-21 16:42:57,4.9533,-77.366,301.39,79,93,3.39
119,Fairbanks,US,2021-05-21 16:40:19,64.8378,-147.7164,284.38,59,75,0.0
120,Hamilton,US,2021-05-21 16:42:58,39.1834,-84.5333,302.46,51,1,0.45
121,Bethel,US,2021-05-21 16:42:58,41.3712,-73.414,298.26,38,1,4.63
122,Baruun-Urt,MN,2021-05-21 16:42:59,46.6806,113.2792,286.76,58,76,7.13
123,Teya,RU,2021-05-21 16:42:59,60.3778,92.6267,276.69,70,92,0.72
124,Batemans Bay,AU,2021-05-21 16:43:00,-35.7167,150.1833,282.54,92,15,2.13
125,Leningradskiy,RU,2021-05-21 16:43:00,69.3833,178.4167,269.84,94,32,0.57
126,Labuhan,ID,2021-05-21 16:43:01,-6.8844,112.2051,298.96,85,82,1.94
127,Tuktoyaktuk,CA,2021-05-21 16:43:02,69.4541,-133.0374,276.15,65,1,5.66
128,Georgetown,MY,2021-05-21 16:38:17,5.4112,100.3354,299.76,90,20,1.34
129,Longyearbyen,SJ,2021-05-21 16:39:49,78.2186,15.6401,269.06,74,75,3.6
130,Pathein,MM,2021-05-21 16:43:03,16.7833,94.7333,300.31,79,100,2.52
131,Nidadavole,IN,2021-05-21 16:43:03,16.9167,81.6667,300.32,87,100,1.82
132,Bredasdorp,ZA,2021-05-21 16:43:04,-34.5322,20.0403,286.08,75,37,2.53
133,Pevek,RU,2021-05-21 16:43:05,69.7008,170.3133,268.85,93,96,0.86
134,Port Blair,IN,2021-05-21 16:43:05,11.6667,92.75,299.66,87,100,8.46
135,Thompson,CA,2021-05-21 16:44:06,55.7435,-97.8558,276.24,52,75,4.12
136,Jurm,AF,2021-05-21 16:44:06,36.8648,70.8342,287.98,63,77,0.56
137,Cabo San Lucas,MX,2021-05-21 16:44:07,22.8909,-109.9124,305.66,50,20,2.06
138,Constitucion,CL,2021-05-21 16:44:07,-35.3333,-72.4167,287.07,64,7,2.59
139,Iqaluit,CA,2021-05-21 16:41:11,63.7506,-68.5145,269.0,62,75,6.71
140,Saint-Francois,FR,2021-05-21 16:44:08,46.4154,3.9054,284.92,93,100,1.54
141,Cairns,AU,2021-05-21 16:44:09,-16.9167,145.7667,295.12,90,75,4.63
142,Paranaiba,BR,2021-05-21 16:44:09,-19.6772,-51.1908,306.99,23,26,3.29
143,Vila Velha,BR,2021-05-21 16:44:10,-20.3297,-40.2925,302.12,65,0,5.36
144,Lazaro Cardenas,MX,2021-05-21 16:41:34,17.9583,-102.2,302.92,41,2,2.68
145,Aswan,EG,2021-05-21 16:44:11,24.0934,32.907,307.69,9,0,4.49
146,Bubaque,GW,2021-05-21 16:44:11,11.2833,-15.8333,299.58,77,44,5.72
147,Bluff,NZ,2021-05-21 16:44:12,-46.6,168.3333,282.93,74,98,9.8
148,Aksu,CN,2021-05-21 16:44:12,41.1231,80.2644,294.61,16,0,4.53
149,Slave Lake,CA,2021-05-21 16:44:13,55.2834,-114.769,282.14,43,1,0.0
150,Norman Wells,CA,2021-05-21 16:44:14,65.282,-126.8329,283.17,50,20,5.14
151,Asau,RO,2021-05-21 16:44:14,46.4333,26.4,291.9,80,55,0.97
152,Aden,YE,2021-05-21 16:44:15,12.7794,45.0367,303.65,74,28,3.65
153,Castro,BR,2021-05-21 16:44:16,-24.7911,-50.0119,295.92,45,74,4.96
154,Puerto Asis,CO,2021-05-21 16:44:16,0.5133,-76.5007,304.46,70,70,0.79
155,New Norfolk,AU,2021-05-21 16:44:17,-42.7826,147.0587,281.25,75,18,1.37
156,Ribeira Grande,PT,2021-05-21 16:44:17,38.5167,-28.7,290.37,59,20,5.66
157,Leninsk,RU,2021-05-21 16:44:18,48.7119,45.1994,301.07,32,46,8.52
158,San Jose,US,2021-05-21 16:44:19,37.3394,-121.895,291.36,54,20,0.89
159,Kochinda,IN,2021-05-21 16:44:19,21.7333,84.35,301.01,73,55,4.07
160,Puerto Ayora,EC,2021-05-21 16:44:20,-0.7393,-90.3518,302.13,88,40,4.02
161,Bay Roberts,CA,2021-05-21 16:42:51,47.5999,-53.2648,294.95,55,36,7.01
162,Banda Aceh,ID,2021-05-21 16:44:21,5.5577,95.3222,300.55,79,100,4.67
163,Ormara,PK,2021-05-21 16:44:22,25.2088,64.6357,303.12,75,0,6.39
164,Rujewa,TZ,2021-05-21 16:44:23,-8.7,34.3833,293.37,61,6,4.62
165,Adrar,MR,2021-05-21 16:44:23,20.5022,-10.0711,313.71,10,34,2.77
166,Wum,CM,2021-05-21 16:44:24,6.3833,10.0667,295.13,90,56,0.58
167,Guerrero Negro,MX,2021-05-21 16:44:24,27.9769,-114.0611,291.83,57,92,8.6
168,Srednekolymsk,RU,2021-05-21 16:44:25,67.45,153.6833,272.87,95,99,1.98
169,Walvis Bay,NA,2021-05-21 16:44:25,-22.9575,14.5053,296.68,59,1,9.17
170,Ranong,TH,2021-05-21 16:44:26,9.9658,98.6348,300.49,82,100,5.34
171,Victoria,HK,2021-05-21 16:40:26,22.2855,114.1577,303.89,85,86,0.45
172,Pacific Grove,US,2021-05-21 16:44:13,36.6177,-121.9166,290.26,80,40,2.68
173,Ballina,AU,2021-05-21 16:43:22,-28.8667,153.5667,288.13,88,75,3.6
174,Andrieseni,RO,2021-05-21 16:44:27,47.5333,27.2833,293.47,65,64,1.24
175,Lagoa,PT,2021-05-21 16:44:28,39.05,-27.9833,288.35,59,100,4.68
176,Barahona,DO,2021-05-21 16:44:29,18.2085,-71.1008,304.05,58,75,6.69
177,Tomatlan,MX,2021-05-21 16:44:29,19.9333,-105.25,302.7,41,71,3.02
178,Svetlogorsk,BY,2021-05-21 16:45:30,52.6333,29.7333,285.15,75,63,2.62
179,Rabo De Peixe,PT,2021-05-21 16:42:08,37.8,-25.5833,290.88,59,40,4.74
180,Itarema,BR,2021-05-21 16:45:31,-2.9248,-39.9167,302.58,65,46,6.38
181,Leh,IN,2021-05-21 16:45:31,34.1667,77.5833,280.62,33,39,2.8
182,Belle Glade,US,2021-05-21 16:45:32,26.6845,-80.6676,302.58,48,58,8.96
183,Aldan,RU,2021-05-21 16:45:32,58.6031,125.3894,271.22,84,97,0.72
184,Burnie,AU,2021-05-21 16:45:33,-41.0667,145.9167,282.01,90,23,1.72
185,Zhangjiakou,CN,2021-05-21 16:45:33,40.81,114.8794,291.91,50,23,1.45
186,Talnakh,RU,2021-05-21 16:45:34,69.4865,88.3972,271.57,94,100,4.61
187,Manjacaze,MZ,2021-05-21 16:45:34,-24.7117,33.8828,295.0,83,1,5.2
188,Paamiut,GL,2021-05-21 16:45:35,61.994,-49.6678,273.12,96,100,9.39
189,Kabalo,CD,2021-05-21 16:45:36,-6.05,26.9167,299.03,55,6,1.98
190,Nuevo Progreso,MX,2021-05-21 16:45:36,23.1667,-97.95,304.01,56,6,4.44
191,Yerbogachen,RU,2021-05-21 16:45:37,61.2767,108.0108,276.55,73,92,0.11
192,Ngaoundere,CM,2021-05-21 16:45:37,7.3167,13.5833,291.92,97,98,1.94
193,Mikhaylovka,RU,2021-05-21 16:45:38,50.06,43.2379,293.95,65,100,0.45
194,Kholtoson,RU,2021-05-21 16:45:39,50.2981,103.3097,272.65,82,100,3.54
195,Aykhal,RU,2021-05-21 16:45:39,66.0,111.5,267.3,93,84,1.27
196,Saldanha,ZA,2021-05-21 16:45:40,-33.0117,17.9442,288.18,67,37,2.79
197,Oranjemund,NA,2021-05-21 16:45:40,-28.55,16.4333,288.35,70,29,6.66
198,Lac Du Bonnet,CA,2021-05-21 16:45:41,50.2536,-96.0612,284.59,76,100,3.41
199,Bechem,GH,2021-05-21 16:45:41,7.0903,-2.025,299.53,80,74,2.1
200,Sussex,US,2021-05-21 16:45:42,41.1834,-74.6663,303.29,43,1,3.09
201,Tadine,NC,2021-05-21 16:45:43,-21.55,167.8833,294.36,76,40,5.56
202,Mayo,US,2021-05-21 16:45:43,38.8876,-76.5119,302.25,41,8,0.89
203,Hay River,CA,2021-05-21 16:45:09,60.8156,-115.7999,285.14,47,20,1.54
204,Kavieng,PG,2021-05-21 16:45:44,-2.5744,150.7967,300.87,80,85,3.69
205,Erzin,TR,2021-05-21 16:45:45,36.9559,36.2,298.55,57,4,2.61
206,Bathsheba,BB,2021-05-21 16:45:45,13.2167,-59.5167,304.49,69,40,8.56
207,Nador,MA,2021-05-21 16:45:46,35.174,-2.9287,299.19,63,0,2.7
208,Saskylakh,RU,2021-05-21 16:45:46,71.9167,114.0833,259.82,100,65,1.2
209,Tokmak,UA,2021-05-21 16:45:47,47.2514,35.7058,289.49,69,100,6.32
210,Chuy,UY,2021-05-21 16:45:47,-33.6971,-53.4616,290.78,76,100,7.1
211,Port Hardy,CA,2021-05-21 16:45:25,50.6996,-127.4199,282.25,87,90,1.54
212,Bambous Virieux,MU,2021-05-21 16:45:48,-20.3428,57.7575,296.29,70,75,9.41
213,Talaya,RU,2021-05-21 16:45:49,61.3833,152.75,272.27,82,63,1.41
214,Moose Factory,CA,2021-05-21 16:45:49,51.2585,-80.6094,281.15,87,90,4.63
215,Muros,ES,2021-05-21 16:45:50,42.7762,-9.0603,290.75,65,91,4.8
216,Evensk,RU,2021-05-21 16:45:50,61.95,159.2333,273.08,86,89,2.86
217,Hokitika,NZ,2021-05-21 16:45:51,-42.7167,170.9667,282.23,85,4,2.37
218,Southbridge,US,2021-05-21 16:45:52,42.0751,-72.0334,299.45,58,87,0.45
219,Talcahuano,CL,2021-05-21 16:44:07,-36.7167,-73.1167,286.97,77,40,4.63
220,Iralaya,HN,2021-05-21 16:45:52,15.0,-83.2333,301.14,78,95,6.02
221,Half Moon Bay,US,2021-05-21 16:45:53,37.4636,-122.4286,291.27,75,1,6.62
222,Qaanaaq,GL,2021-05-21 16:45:53,77.484,-69.3632,271.33,72,10,1.91
223,Dingle,PH,2021-05-21 16:45:54,10.9995,122.6711,298.22,90,99,1.04
224,Fallon,US,2021-05-21 16:45:55,39.4735,-118.7774,280.08,57,90,7.72
225,Srandakan,ID,2021-05-21 16:45:55,-7.9386,110.2506,298.26,89,45,1.82
226,Paredon,MX,2021-05-21 16:46:14,16.0333,-93.8667,305.36,52,63,2.14
227,Fort Nelson,CA,2021-05-21 16:45:09,58.8053,-122.7002,285.92,50,20,2.06
228,Cherskiy,RU,2021-05-21 16:46:57,68.75,161.3,272.62,90,100,4.76
229,Inongo,CD,2021-05-21 16:46:57,-1.95,18.2667,297.39,82,55,4.12
230,Bara,NG,2021-05-21 16:46:58,10.3744,10.7288,309.59,29,32,3.68
231,Qasigiannguit,GL,2021-05-21 16:46:58,68.8193,-51.1922,274.29,80,95,2.18
232,Esperance,AU,2021-05-21 16:46:59,-33.8667,121.9,288.06,80,90,3.68
233,Hualmay,PE,2021-05-21 16:46:59,-11.0964,-77.6139,293.42,73,34,5.15
234,Ucluelet,CA,2021-05-21 16:46:51,48.9329,-125.5528,284.31,84,18,1.6
235,Georgiyevka,KZ,2021-05-21 16:47:00,43.0369,74.7114,292.17,54,0,3.27
236,Mordovo,RU,2021-05-21 16:47:01,52.0834,40.77,286.3,90,100,5.52
237,Taunggyi,MM,2021-05-21 16:47:02,20.7833,97.0333,294.87,60,55,2.01
238,Henties Bay,NA,2021-05-21 16:47:03,-22.116,14.2845,291.4,75,0,4.39
239,Kruisfontein,ZA,2021-05-21 16:47:03,-34.0033,24.7314,285.31,76,27,7.23
240,Chishtian Mandi,PK,2021-05-21 16:47:04,29.8,72.8667,301.99,43,4,7.16
241,Liverpool,GB,2021-05-21 16:32:52,53.4106,-2.9779,286.09,81,100,3.13
242,Upernavik,GL,2021-05-21 16:47:05,72.7868,-56.1549,270.91,81,99,5.48
243,Westport,US,2021-05-21 16:46:06,41.1415,-73.3579,298.32,48,20,0.45
244,Great Falls,US,2021-05-21 16:47:05,47.5002,-111.3008,272.92,84,90,2.57
245,Lubao,PH,2021-05-21 16:47:06,14.9167,120.55,303.16,81,57,0.59
246,Erenhot,CN,2021-05-21 16:47:06,43.6475,111.9767,296.08,14,49,7.53
247,Barra Do Garcas,BR,2021-05-21 16:47:07,-15.89,-52.2567,305.95,35,45,2.37
248,Quatre Cocos,MU,2021-05-21 16:47:08,-20.2078,57.7625,296.21,71,92,9.28
249,Verkhoyansk,RU,2021-05-21 16:47:08,67.5447,133.385,273.64,69,99,2.48
250,Egvekinot,RU,2021-05-21 16:47:09,66.3167,-179.1667,270.64,96,100,3.17
251,Sao Filipe,CV,2021-05-21 16:47:09,14.8961,-24.4956,297.23,69,18,1.42
